2016-07-16 12:19:06,454 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial8_DoWhileLoops:Tutorial8_DoWhileLoops:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial8_DoWhileLoops/pom.xml.
2016-07-16 12:19:06,655 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial8_DoWhileLoops/src
2016-07-16 12:19:06,656 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial8_DoWhileLoops/src/test/java because it overlaps with /Tutorial8_DoWhileLoops/src
2016-07-16 12:19:06,692 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-16 12:19:06,719 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tutorial8_DoWhileLoops:Tutorial8_DoWhileLoops:0.0.1-SNAPSHOT @ /Users/Jason/Desktop/codingKatas/java/Tutorial8_DoWhileLoops/pom.xml.
2016-07-16 12:19:06,770 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Tutorial8_DoWhileLoops/src
2016-07-16 12:19:06,771 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Tutorial8_DoWhileLoops/src/test/java because it overlaps with /Tutorial8_DoWhileLoops/src
2016-07-16 12:19:06,817 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-07-16 12:19:06,941 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-16 12:19:06,942 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jason/Desktop/codingKatas/java/Tutorial8_DoWhileLoops/src/main/resources
2016-07-16 12:19:06,943 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
